DATAFLOW,LAST UPDATE,freq,unit,iscedf13,isced11,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2015,918,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2016,877,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2017,970,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2018,953,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2019,1069,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2020,1076,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2021,1289,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Croatia,2022,1143,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2013,2980,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2014,2705,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2015,3138,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2016,2585,
ESTAT:EDUC_UOE_ENT02(1.0),27/08/24 11:00:00,Annual,Number,Education,Bachelor's or equivalent level,Total,Hungary,2017,3191,
