year,area,concept,lonely,metric,value
2003,ESP,reading_score,agree,mean_se,10.8489711346863
2003,ESP,reading_score,disagree,mean,486.253565479694
2003,ESP,reading_score,disagree,mean_se,3.2326219707218
2003,ESP,reading_score,strongly_agree,mean,437.675195479371
2003,ESP,reading_score,strongly_agree,mean_se,13.9867699646745
2003,ESP,reading_score,strongly_disagree,mean,483.353341072718
2003,ESP,reading_score,strongly_disagree,mean_se,2.59554378638733
2003,FIN,math_score,agree,mean,543.069979520679
2003,FIN,math_score,agree,mean_se,47.1875946600103
2003,FIN,math_score,disagree,mean,552.044346002902
2003,FIN,math_score,disagree,mean_se,4.28412541221018
2003,FIN,math_score,strongly_agree,mean,505.69616093211
2003,FIN,math_score,strongly_agree,mean_se,139.173779868596
2003,FIN,math_score,strongly_disagree,mean,542.008754829473
2003,FIN,math_score,strongly_disagree,mean_se,4.17337064423899
2003,FIN,reading_score,agree,mean,547.900155870511
2003,FIN,reading_score,agree,mean_se,6.26088434179028
2003,FIN,reading_score,disagree,mean,548.710330023251
2003,FIN,reading_score,disagree,mean_se,1.85493990879335
2003,FIN,reading_score,strongly_agree,mean,513.5546009986
2003,FIN,reading_score,strongly_agree,mean_se,13.0940332467194
2003,FIN,reading_score,strongly_disagree,mean,540.528134736835
2003,FIN,reading_score,strongly_disagree,mean_se,2.1183536333501
2003,FRA,math_score,agree,mean,520.269576193631
2003,FRA,math_score,agree,mean_se,55.4910109981936
2003,FRA,math_score,disagree,mean,521.842038696116
2003,FRA,math_score,disagree,mean_se,9.15504273583515
2003,FRA,math_score,strongly_agree,mean,498.146363112589
2003,FRA,math_score,strongly_agree,mean_se,117.918252889655
2003,FRA,math_score,strongly_disagree,mean,510.035208201594
2003,FRA,math_score,strongly_disagree,mean_se,7.01253762678577
2003,FRA,reading_score,agree,mean,506.594726451053
2003,FRA,reading_score,agree,mean_se,9.80606088378065
2003,FRA,reading_score,disagree,mean,506.945228143527
2003,FRA,reading_score,disagree,mean_se,3.27848908926169
2003,FRA,reading_score,strongly_agree,mean,470.599611593233
2003,FRA,reading_score,strongly_agree,mean_se,14.4107803153192
2003,FRA,reading_score,strongly_disagree,mean,496.965326826334
2003,FRA,reading_score,strongly_disagree,mean_se,2.79763830684514
2003,GBR,math_score,agree,mean,522.833280452489
2003,GBR,math_score,agree,mean_se,73.4831824049972
2003,GBR,math_score,disagree,mean,514.521230200314
2003,GBR,math_score,disagree,mean_se,14.9482906703631
2003,GBR,math_score,strongly_agree,mean,490.559062022735
2003,GBR,math_score,strongly_agree,mean_se,203.177435441687
2003,GBR,math_score,strongly_disagree,mean,507.214397107593
2003,GBR,math_score,strongly_disagree,mean_se,6.35827109593417
2003,GBR,reading_score,agree,mean,521.038088735313
2003,GBR,reading_score,agree,mean_se,8.79718350641196
2003,GBR,reading_score,disagree,mean,515.447087330662
2003,GBR,reading_score,disagree,mean_se,4.06052528935257
2003,GBR,reading_score,strongly_agree,mean,483.089388480211
2003,GBR,reading_score,strongly_agree,mean_se,16.3296298394593
2003,GBR,reading_score,strongly_disagree,mean,505.564345758994
2003,GBR,reading_score,strongly_disagree,mean_se,2.55267007663851
2003,GRC,math_score,agree,mean,424.155090572068
2003,GRC,math_score,agree,mean_se,70.6087736291977
2003,GRC,math_score,disagree,mean,442.669586050865
2003,GRC,math_score,disagree,mean_se,12.4933490811367
2003,GRC,math_score,strongly_agree,mean,418.370850313066
2003,GRC,math_score,strongly_agree,mean_se,108.69412618284
2003,GRC,math_score,strongly_disagree,mean,453.433653642857
2003,GRC,math_score,strongly_disagree,mean_se,17.7078336792401
2003,GRC,reading_score,agree,mean,448.603010572445
2003,GRC,reading_score,agree,mean_se,9.74518087344505
2003,GRC,reading_score,disagree,mean,470.316130804632
