year,area,concept,artworks,metric,value
2006,GBR,math_score,no,mean,478.455618744773
2006,GBR,math_score,no,mean_se,6.97424158004664
2006,GBR,math_score,yes,mean,506.789485940169
2006,GBR,math_score,yes,mean_se,4.94351460913096
2006,GBR,reading_score,no,mean,474.432769480218
2006,GBR,reading_score,no,mean_se,2.91503274654747
2006,GBR,reading_score,yes,mean,509.858993838128
2006,GBR,reading_score,yes,mean_se,2.5227834003101
2006,GRC,math_score,no,mean,456.365532813638
2006,GRC,math_score,no,mean_se,9.96607400169175
2006,GRC,math_score,yes,mean,467.910382408082
2006,GRC,math_score,yes,mean_se,14.4638603484096
2006,GRC,reading_score,no,mean,457.80584875822
2006,GRC,reading_score,no,mean_se,4.18053542740284
2006,GRC,reading_score,yes,mean,468.096640613335
2006,GRC,reading_score,yes,mean_se,4.78353149616982
2006,HRV,math_score,no,mean,459.672238992426
2006,HRV,math_score,no,mean_se,7.81597372128386
2006,HRV,math_score,yes,mean,479.799723863941
2006,HRV,math_score,yes,mean_se,6.96203543061946
2006,HRV,reading_score,no,mean,463.748657419644
2006,HRV,reading_score,no,mean_se,3.43817693491531
2006,HRV,reading_score,yes,mean,494.272542906867
2006,HRV,reading_score,yes,mean_se,2.81650436057249
2006,HUN,math_score,no,mean,475.72678930477
2006,HUN,math_score,no,mean_se,9.87004085291948
2006,HUN,math_score,yes,mean,506.869691726248
2006,HUN,math_score,yes,mean_se,10.8506480490336
2006,HUN,reading_score,no,mean,465.917480087982
2006,HUN,reading_score,no,mean_se,3.80700248991539
2006,HUN,reading_score,yes,mean,501.368078139189
2006,HUN,reading_score,yes,mean_se,3.57377574718274
2006,IRL,math_score,no,mean,491.84031348726
2006,IRL,math_score,no,mean_se,12.4254070110164
2006,IRL,math_score,yes,mean,511.725041432837
2006,IRL,math_score,yes,mean_se,7.52522364203945
2006,IRL,reading_score,no,mean,502.961104131144
2006,IRL,reading_score,no,mean_se,4.28099916927557
2006,IRL,reading_score,yes,mean,530.252083866803
2006,IRL,reading_score,yes,mean_se,3.3077464300831
2006,ITA,math_score,no,mean,442.587317697639
2006,ITA,math_score,no,mean_se,5.73247384065279
2006,ITA,math_score,yes,mean,470.016049830853
2006,ITA,math_score,yes,mean_se,6.33322597098279
2006,ITA,reading_score,no,mean,448.191618346762
2006,ITA,reading_score,no,mean_se,3.1530288651737
2006,ITA,reading_score,yes,mean,478.216360396319
2006,ITA,reading_score,yes,mean_se,2.47935780163793
2006,LTU,math_score,no,mean,466.239250562019
2006,LTU,math_score,no,mean_se,12.9225756691799
2006,LTU,math_score,yes,mean,497.211456311559
2006,LTU,math_score,yes,mean_se,8.62628884805792
2006,LTU,reading_score,no,mean,438.638773649767
2006,LTU,reading_score,no,mean_se,3.51540354712863
2006,LTU,reading_score,yes,mean,486.875645183242
2006,LTU,reading_score,yes,mean_se,3.1260655770435
2006,LUX,math_score,no,mean,460.170216011189
2006,LUX,math_score,no,mean_se,5.89462950716886
2006,LUX,math_score,yes,mean,501.958227263041
2006,LUX,math_score,yes,mean_se,1.47035274753606
2006,LUX,reading_score,no,mean,444.44893458668
2006,LUX,reading_score,no,mean_se,2.76305933111951
2006,LUX,reading_score,yes,mean,494.694067818301
2006,LUX,reading_score,yes,mean_se,1.58544878196112
2006,LVA,math_score,no,mean,478.720376865108
2006,LVA,math_score,no,mean_se,9.0781662121193
2006,LVA,math_score,yes,mean,492.564804056984
2006,LVA,math_score,yes,mean_se,11.0482942929073
2006,LVA,reading_score,no,mean,465.810733827134
2006,LVA,reading_score,no,mean_se,4.18649823481868
2006,LVA,reading_score,yes,mean,490.370625271159
2006,LVA,reading_score,yes,mean_se,3.93215559669765
2006,NLD,math_score,no,mean,507.343877252231
2006,NLD,math_score,no,mean_se,21.6500685385279
2006,NLD,math_score,yes,mean,543.42523373834
2006,NLD,math_score,yes,mean_se,6.16889972355089
2006,NLD,reading_score,no,mean,483.222840311559
2006,NLD,reading_score,no,mean_se,5.15790615819148
2006,NLD,reading_score,yes,mean,519.702910561106
2006,NLD,reading_score,yes,mean_se,2.77305168974444
2006,POL,math_score,no,mean,491.175158438673
2006,POL,math_score,no,mean_se,7.7786627064856
2006,POL,math_score,yes,mean,502.366710798371
2006,POL,math_score,yes,mean_se,7.59660320596943
2006,POL,reading_score,no,mean,497.7123635682
2006,POL,reading_score,no,mean_se,2.94324242688261
2006,POL,reading_score,yes,mean,522.117700012312
2006,POL,reading_score,yes,mean_se,3.37233894052852
2006,PRT,math_score,no,mean,450.235020326326
2006,PRT,math_score,no,mean_se,11.5538971250751
2006,PRT,math_score,yes,mean,488.790186103723
2006,PRT,math_score,yes,mean_se,7.24416131887644
2006,PRT,reading_score,no,mean,452.327362797616
2006,PRT,reading_score,no,mean_se,4.21514873506182
2006,PRT,reading_score,yes,mean,498.904685432464
2006,PRT,reading_score,yes,mean_se,3.33473864613032
2006,ROU,math_score,no,mean,406.734585422613
2006,ROU,math_score,no,mean_se,27.6127193060496
2006,ROU,math_score,yes,mean,425.990584691441
2006,ROU,math_score,yes,mean_se,20.2848000025441
2006,ROU,reading_score,no,mean,388.862584815083
2006,ROU,reading_score,no,mean_se,5.43245290765578
2006,ROU,reading_score,yes,mean,405.682912631876
