year,area,concept,hisced,level,metric,value
2000,BGR,math_score,low,level_6,freq_se,
2000,BGR,math_score,medium,below_level_1a,freq,32.2068474587196
2000,BGR,math_score,medium,below_level_1a,freq_se,25.7209405610152
2000,BGR,math_score,medium,level_1a,freq,12.1507937285288
2000,BGR,math_score,medium,level_1a,freq_se,13.1510768250157
2000,BGR,math_score,medium,level_2,freq,10.4599464328425
2000,BGR,math_score,medium,level_2,freq_se,6.24036366106645
2000,BGR,math_score,medium,level_3,freq,3.00476872188585
2000,BGR,math_score,medium,level_3,freq_se,0.986071659653883
2000,BGR,math_score,medium,level_4,freq,0
2000,BGR,math_score,medium,level_4,freq_se,
2000,BGR,math_score,medium,level_5,freq,1.34813944648956
2000,BGR,math_score,medium,level_5,freq_se,0.914214627271322
2000,BGR,math_score,medium,level_6,freq,0
2000,BGR,math_score,medium,level_6,freq_se,
2000,BGR,reading_score,high,below_level_1a,freq,15.0213640318176
2000,BGR,reading_score,high,below_level_1a,freq_se,1.14114291796647
2000,BGR,reading_score,high,level_1a,freq,21.901892554011
2000,BGR,reading_score,high,level_1a,freq_se,1.51286057375077
2000,BGR,reading_score,high,level_2,freq,28.1612634234734
2000,BGR,reading_score,high,level_2,freq_se,1.53235929621679
2000,BGR,reading_score,high,level_3,freq,22.8265428228169
2000,BGR,reading_score,high,level_3,freq_se,1.52762992185741
2000,BGR,reading_score,high,level_4,freq,9.72445786990081
2000,BGR,reading_score,high,level_4,freq_se,1.03777021655478
2000,BGR,reading_score,high,level_5,freq,2.16373924844541
2000,BGR,reading_score,high,level_5,freq_se,0.571145871823605
2000,BGR,reading_score,high,level_6,freq,0.20074004953487
2000,BGR,reading_score,high,level_6,freq_se,0.212395315739878
2000,BGR,reading_score,low,below_level_1a,freq,71.593792884381
2000,BGR,reading_score,low,below_level_1a,freq_se,10.5078223542532
2000,BGR,reading_score,low,level_1a,freq,9.69080214623369
2000,BGR,reading_score,low,level_1a,freq_se,6.53900704688905
2000,BGR,reading_score,low,level_2,freq,9.10325972150286
2000,BGR,reading_score,low,level_2,freq_se,6.54481125907223
