"year","area","concept","metric","value"
"2003","CZE","reading_score","perc_50",493.1003
"2003","CZE","reading_score","perc_50_se",3.54070978639878
"2003","CZE","reading_score","perc_90",607.5018
"2003","CZE","reading_score","perc_90_se",4.20195679808825
"2003","DEU","math_score","mean",503.078875063313
"2003","DEU","math_score","mean_se",3.33547467488588
"2003","DEU","math_score","perc_10",360.134
"2003","DEU","math_score","perc_10_se",5.06378892875683
"2003","DEU","math_score","perc_50",509.1447
"2003","DEU","math_score","perc_50_se",4.29597796025538
"2003","DEU","math_score","perc_90",631.4379
"2003","DEU","math_score","perc_90_se",3.21479319886992
"2003","DEU","reading_score","mean",491.69710970757
"2003","DEU","reading_score","mean_se",3.36342314259455
"2003","DEU","reading_score","perc_10",341.0101
"2003","DEU","reading_score","perc_10_se",5.70747969422584
"2003","DEU","reading_score","perc_50",502.6338
"2003","DEU","reading_score","perc_50_se",4.08214299290214
"2003","DEU","reading_score","perc_90",624.1853
"2003","DEU","reading_score","perc_90_se",3.4232669317481
"2003","DNK","math_score","mean",513.739095935753
"2003","DNK","math_score","mean_se",2.58458594395333
"2003","DNK","math_score","perc_10",395.342
"2003","DNK","math_score","perc_10_se",3.777302185489
"2003","DNK","math_score","perc_50",515.4541
"2003","DNK","math_score","perc_50_se",2.59702386858498
"2003","DNK","math_score","perc_90",631.0484
"2003","DNK","math_score","perc_90_se",2.49459975166362
"2003","DNK","reading_score","mean",491.210354530586
"2003","DNK","reading_score","mean_se",2.68592669878895
"2003","DNK","reading_score","perc_10",374.1364
"2003","DNK","reading_score","perc_10_se",3.94543837393261
"2003","DNK","reading_score","perc_50",498.4605
"2003","DNK","reading_score","perc_50_se",3.07215566890743
"2003","DNK","reading_score","perc_90",601.1282
"2003","DNK","reading_score","perc_90_se",2.55642313975994
"2003","ESP","math_score","mean",485.569254446011
"2003","ESP","math_score","mean_se",2.35466514382674
"2003","ESP","math_score","perc_10",368.5465
"2003","ESP","math_score","perc_10_se",3.38153075056253
"2003","ESP","math_score","perc_50",486.7113
"2003","ESP","math_score","perc_50_se",2.73484537981584
"2003","ESP","math_score","perc_90",598.411
"2003","ESP","math_score","perc_90_se",3.63271169899291
"2003","ESP","reading_score","mean",481.68173217963
"2003","ESP","reading_score","mean_se",2.42056018575846
"2003","ESP","reading_score","perc_10",356.4904
"2003","ESP","reading_score","perc_10_se",4.21191195972801
"2003","ESP","reading_score","perc_50",487.7927
"2003","ESP","reading_score","perc_50_se",2.70196426493765
"2003","ESP","reading_score","perc_90",596.8771
"2003","ESP","reading_score","perc_90_se",3.0788097474511
"2003","FIN","math_score","mean",544.173383561088
"2003","FIN","math_score","mean_se",1.77146304590935
"2003","FIN","math_score","perc_10",437.4825
"2003","FIN","math_score","perc_10_se",2.30142989617323
"2003","FIN","math_score","perc_50",544.6643
"2003","FIN","math_score","perc_50_se",2.13890694351111
"2003","FIN","math_score","perc_90",651.6124
"2003","FIN","math_score","perc_90_se",1.91751619080517
"2003","FIN","reading_score","mean",542.902419061063
"2003","FIN","reading_score","mean_se",1.54836604966776
"2003","FIN","reading_score","perc_10",436.6995
"2003","FIN","reading_score","perc_10_se",2.85265271151257
"2003","FIN","reading_score","perc_50",548.9923
"2003","FIN","reading_score","perc_50_se",1.76193935139665
"2003","FIN","reading_score","perc_90",640.0744
"2003","FIN","reading_score","perc_90_se",1.73010930695145
"2003","FRA","math_score","mean",511.474045013829
"2003","FRA","math_score","mean_se",2.49612570243828
"2003","FRA","math_score","perc_10",389.9673
"2003","FRA","math_score","perc_10_se",5.16295347577335
"2003","FRA","math_score","perc_50",515.0647
"2003","FRA","math_score","perc_50_se",3.18261189308404
"2003","FRA","math_score","perc_90",628.7116
"2003","FRA","math_score","perc_90_se",3.78726576899481
"2003","FRA","reading_score","mean",496.067068108007
"2003","FRA","reading_score","mean_se",2.51790881860252
"2003","FRA","reading_score","perc_10",368.5218
"2003","FRA","reading_score","perc_10_se",5.51126404398302
"2003","FRA","reading_score","perc_50",504.8583
"2003","FRA","reading_score","perc_50_se",2.1385931914462
"2003","FRA","reading_score","perc_90",613.8574
"2003","FRA","reading_score","perc_90_se",2.42728804306368
"2003","GBR","math_score","mean",508.024222936429
"2003","GBR","math_score","mean_se",2.40364903542049
"2003","GBR","math_score","perc_10",386.9294
"2003","GBR","math_score","perc_10_se",3.88308107576961
"2003","GBR","math_score","perc_50",509.9237
"2003","GBR","math_score","perc_50_se",2.43844842194786
"2003","GBR","math_score","perc_90",627.9327
"2003","GBR","math_score","perc_90_se",3.30428788160172
"2003","GBR","reading_score","mean",506.807226011687
"2003","GBR","reading_score","mean_se",2.40542011387656
"2003","GBR","reading_score","perc_10",382.3534
"2003","GBR","reading_score","perc_10_se",3.08901224196343
"2003","GBR","reading_score","perc_50",511.3728
"2003","GBR","reading_score","perc_50_se",2.30502340107426
"2003","GBR","reading_score","perc_90",625.1387
"2003","GBR","reading_score","perc_90_se",4.32410521379859
"2003","GRC","math_score","mean",444.549343108732
"2003","GRC","math_score","mean_se",3.93322438007396
"2003","GRC","math_score","perc_10",321.8881
"2003","GRC","math_score","perc_10_se",5.18248570523837
"2003","GRC","math_score","perc_50",445.1161
"2003","GRC","math_score","perc_50_se",4.16754795611279
"2003","GRC","math_score","perc_90",567.2535
"2003","GRC","math_score","perc_90_se",5.30382080617359
"2003","GRC","reading_score","mean",471.581023819321
"2003","GRC","reading_score","mean_se",4.03114945523504
"2003","GRC","reading_score","perc_10",330.8235
"2003","GRC","reading_score","perc_10_se",5.85640577368064
"2003","GRC","reading_score","perc_50",479.5946
"2003","GRC","reading_score","perc_50_se",4.18735362114307
"2003","GRC","reading_score","perc_90",601.9303
"2003","GRC","reading_score","perc_90_se",3.97212277674041
"2003","HUN","math_score","mean",490.337444360227
"2003","HUN","math_score","mean_se",2.74155612712494
"2003","HUN","math_score","perc_10",370.9612
"2003","HUN","math_score","perc_10_se",4.02850099354586
"2003","HUN","math_score","perc_50",490.4502
"2003","HUN","math_score","perc_50_se",3.03824718777126
