"year","area","concept","level","metric","value"
"2000","FRA","books","more_500","freq_se",0.413552738395499
"2000","FRA","artworks","no","freq",66.2742531540808
"2000","FRA","artworks","no","freq_se",0.950023657429438
"2000","FRA","artworks","yes","freq",33.7257468459192
"2000","FRA","artworks","yes","freq_se",0.950023657429439
"2000","FRA","classics","no","freq",35.1813797478592
"2000","FRA","classics","no","freq_se",1.08659361729141
"2000","FRA","classics","yes","freq",64.8186202521408
"2000","FRA","classics","yes","freq_se",1.08659361729141
"2000","FRA","lonely","agree","freq",5.22093821166064
"2000","FRA","lonely","agree","freq_se",0.362047886983573
"2000","FRA","lonely","disagree","freq",33.4531895791745
"2000","FRA","lonely","disagree","freq_se",0.80454789157381
"2000","FRA","lonely","strongly_agree","freq",2.23426492073947
"2000","FRA","lonely","strongly_agree","freq_se",0.230832997941509
"2000","FRA","lonely","strongly_disagree","freq",59.0916072884254
"2000","FRA","lonely","strongly_disagree","freq_se",0.828920029134205
"2000","FRA","computer","daily","freq",9.28982937723066
"2000","FRA","computer","daily","freq_se",0.640356870710643
"2000","FRA","computer","monthly","freq",16.3356287809128
"2000","FRA","computer","monthly","freq_se",0.610259228366716
"2000","FRA","computer","never","freq",37.4504946142397
"2000","FRA","computer","never","freq_se",1.44055379285738
"2000","FRA","computer","weekly","freq",14.4826168675588
"2000","FRA","computer","weekly","freq_se",0.84703944603071
"2000","FRA","computer","yearly","freq",22.441430360058
"2000","FRA","computer","yearly","freq_se",0.763900519352974
"2000","GBR","books","0_10","freq",8.56490003748929
"2000","GBR","books","0_10","freq_se",0.424671035194059
"2000","GBR","books","101_200","freq",20.9607585058759
"2000","GBR","books","101_200","freq_se",0.633336504779074
"2000","GBR","books","11_25","freq",21.4653676225454
"2000","GBR","books","11_25","freq_se",0.667229793069784
"2000","GBR","books","201_500","freq",14.7005429691737
"2000","GBR","books","201_500","freq_se",0.518787850588552
"2000","GBR","books","26_100","freq",21.2121495675784
"2000","GBR","books","26_100","freq_se",0.646360478615912
"2000","GBR","books","more_500","freq",13.0962812973373
"2000","GBR","books","more_500","freq_se",0.572904111051831
"2000","GBR","artworks","no","freq",41.8311138375973
"2000","GBR","artworks","no","freq_se",0.846779988884775
"2000","GBR","artworks","yes","freq",58.1688861624027
"2000","GBR","artworks","yes","freq_se",0.846779988884778
