year,area,concept,computer,metric,value
2000,IRL,math_score,never,mean_se,14.3545629681177
2000,IRL,math_score,weekly,mean,516.879352357695
2000,IRL,math_score,weekly,mean_se,17.2333938754519
2000,IRL,math_score,yearly,mean,494.267462952808
2000,IRL,math_score,yearly,mean_se,25.537001292992
2000,IRL,reading_score,daily,mean,532.674845671695
2000,IRL,reading_score,daily,mean_se,5.43967336513459
2000,IRL,reading_score,monthly,mean,515.431951090021
2000,IRL,reading_score,monthly,mean_se,7.35967511675506
2000,IRL,reading_score,never,mean,525.47612417651
2000,IRL,reading_score,never,mean_se,3.74012839332713
2000,IRL,reading_score,weekly,mean,541.371942054556
2000,IRL,reading_score,weekly,mean_se,4.75478770111792
2000,IRL,reading_score,yearly,mean,514.82892004531
2000,IRL,reading_score,yearly,mean_se,5.82486081896137
2000,ITA,math_score,daily,mean,450.508343099585
2000,ITA,math_score,daily,mean_se,12.8759156003187
2000,ITA,math_score,monthly,mean,453.150017676196
2000,ITA,math_score,monthly,mean_se,101.463669560911
2000,ITA,math_score,never,mean,455.701486679116
2000,ITA,math_score,never,mean_se,35.5911765453306
2000,ITA,math_score,weekly,mean,475.880031132696
2000,ITA,math_score,weekly,mean_se,19.3937233826034
2000,ITA,math_score,yearly,mean,459.317444531231
2000,ITA,math_score,yearly,mean_se,39.4809492481235
2000,ITA,reading_score,daily,mean,474.967183224309
2000,ITA,reading_score,daily,mean_se,4.07566586017162
2000,ITA,reading_score,monthly,mean,480.721991384529
2000,ITA,reading_score,monthly,mean_se,8.6430900729028
2000,ITA,reading_score,never,mean,501.685903226563
2000,ITA,reading_score,never,mean_se,5.05676671499209
2000,ITA,reading_score,weekly,mean,501.941346526913
2000,ITA,reading_score,weekly,mean_se,4.52368605545368
2000,ITA,reading_score,yearly,mean,487.643949373754
2000,ITA,reading_score,yearly,mean_se,6.33774569615029
2000,LUX,math_score,daily,mean,453.633904849427
2000,LUX,math_score,daily,mean_se,19.663844627313
2000,LUX,math_score,monthly,mean,455.324013862876
2000,LUX,math_score,monthly,mean_se,42.6613426621366
2000,LUX,math_score,never,mean,455.151212819012
2000,LUX,math_score,never,mean_se,17.8072654855264
