year,area,concept,hisced,metric,value
2003,BEL,math_score,low,mean_se,26.1598666507754
2003,BEL,math_score,medium,mean,522.022887642495
2003,BEL,math_score,medium,mean_se,6.79242385864039
2003,BEL,reading_score,high,mean,536.878892683171
2003,BEL,reading_score,high,mean_se,2.64996268168828
2003,BEL,reading_score,low,mean,448.415523109915
2003,BEL,reading_score,low,mean_se,6.4800997940089
2003,BEL,reading_score,medium,mean,502.636700738928
2003,BEL,reading_score,medium,mean_se,2.86427817850481
2003,CZE,math_score,high,mean,568.238166310629
2003,CZE,math_score,high,mean_se,20.0538702369106
2003,CZE,math_score,low,mean,435.458601391641
2003,CZE,math_score,low,mean_se,167.432514756423
2003,CZE,math_score,medium,mean,508.987670064939
2003,CZE,math_score,medium,mean_se,7.33489086493084
2003,CZE,reading_score,high,mean,532.099800401568
2003,CZE,reading_score,high,mean_se,4.09826958579354
2003,CZE,reading_score,low,mean,415.019310258113
2003,CZE,reading_score,low,mean_se,13.9960472139325
2003,CZE,reading_score,medium,mean,485.760688545222
2003,CZE,reading_score,medium,mean_se,2.57035180303932
2003,DEU,math_score,high,mean,547.199237950021
2003,DEU,math_score,high,mean_se,13.3593494447689
2003,DEU,math_score,low,mean,438.392499511376
2003,DEU,math_score,low,mean_se,25.8800094389026
2003,DEU,math_score,medium,mean,512.567061710063
2003,DEU,math_score,medium,mean_se,12.3648529778834
2003,DEU,reading_score,high,mean,534.416956056767
2003,DEU,reading_score,high,mean_se,3.72960382400164
2003,DEU,reading_score,low,mean,426.309350141292
2003,DEU,reading_score,low,mean_se,5.96006151474184
2003,DEU,reading_score,medium,mean,508.258827436196
2003,DEU,reading_score,medium,mean_se,3.48303495416976
2003,DNK,math_score,high,mean,535.121228066041
2003,DNK,math_score,high,mean_se,7.83674573254058
2003,DNK,math_score,low,mean,461.117486616851
2003,DNK,math_score,low,mean_se,27.8768440850152
2003,DNK,math_score,medium,mean,499.694642906702
2003,DNK,math_score,medium,mean_se,9.31049660416438
2003,DNK,reading_score,high,mean,513.397509787759
2003,DNK,reading_score,high,mean_se,2.75548952549912
2003,DNK,reading_score,low,mean,443.463180671825
2003,DNK,reading_score,low,mean_se,5.41711026173605
2003,DNK,reading_score,medium,mean,477.992425921059
2003,DNK,reading_score,medium,mean_se,3.36556518597546
2003,ESP,math_score,high,mean,509.796600603916
2003,ESP,math_score,high,mean_se,9.67259978273164
2003,ESP,math_score,low,mean,460.370468884075
2003,ESP,math_score,low,mean_se,8.18496979790456
2003,ESP,math_score,medium,mean,484.552691480145
2003,ESP,math_score,medium,mean_se,8.06853481036698
2003,ESP,reading_score,high,mean,502.767648129221
2003,ESP,reading_score,high,mean_se,3.41559714990431
2003,ESP,reading_score,low,mean,461.348307925611
2003,ESP,reading_score,low,mean_se,3.58551255760393
2003,ESP,reading_score,medium,mean,481.592324407958
2003,ESP,reading_score,medium,mean_se,3.12452429711153
2003,FIN,math_score,high,mean,554.775812156191
2003,FIN,math_score,high,mean_se,3.56995844350378
2003,FIN,math_score,low,mean,512.683257764424
2003,FIN,math_score,low,mean_se,11.4497665189542
2003,FIN,math_score,medium,mean,534.434551395925
2003,FIN,math_score,medium,mean_se,8.6526349213551
2003,FIN,reading_score,high,mean,553.977174286148
2003,FIN,reading_score,high,mean_se,1.74086220086414
2003,FIN,reading_score,low,mean,514.337692938436
2003,FIN,reading_score,low,mean_se,4.02262011795945
2003,FIN,reading_score,medium,mean,528.769417797817
2003,FIN,reading_score,medium,mean_se,2.85909253768353
2003,FRA,math_score,high,mean,535.141784036024
2003,FRA,math_score,high,mean_se,8.87542320791998
2003,FRA,math_score,low,mean,471.901289425376
2003,FRA,math_score,low,mean_se,28.6785901148215
2003,FRA,math_score,medium,mean,513.39306611826
2003,FRA,math_score,medium,mean_se,5.28135083996159
2003,FRA,reading_score,high,mean,519.02785256331
2003,FRA,reading_score,high,mean_se,3.21328349994766
2003,FRA,reading_score,low,mean,456.034743430476
2003,FRA,reading_score,low,mean_se,6.4494173281291
2003,FRA,reading_score,medium,mean,502.367703265289
2003,FRA,reading_score,medium,mean_se,2.51258138416909
2003,GBR,math_score,high,mean,536.043731393509
2003,GBR,math_score,high,mean_se,13.1626743675972
2003,GBR,math_score,low,mean,464.837389594453
2003,GBR,math_score,low,mean_se,30.2062642113392
2003,GBR,math_score,medium,mean,496.361964034466
2003,GBR,math_score,medium,mean_se,6.36667053534417
2003,GBR,reading_score,high,mean,533.821389914047
2003,GBR,reading_score,high,mean_se,3.93122547038701
2003,GBR,reading_score,low,mean,464.483239873383
2003,GBR,reading_score,low,mean_se,5.90596250285643
2003,GBR,reading_score,medium,mean,497.655229598019
2003,GBR,reading_score,medium,mean_se,2.64422724656521
2003,GRC,math_score,high,mean,465.730478292016
2003,GRC,math_score,high,mean_se,26.6695771282408
2003,GRC,math_score,low,mean,405.267183196194
2003,GRC,math_score,low,mean_se,16.5487384720493
2003,GRC,math_score,medium,mean,442.887705160247
2003,GRC,math_score,medium,mean_se,10.1104004748891
2003,GRC,reading_score,high,mean,491.171136104079
2003,GRC,reading_score,high,mean_se,5.28163206836112
2003,GRC,reading_score,low,mean,434.409073163005
2003,GRC,reading_score,low,mean_se,5.05658222844115
2003,GRC,reading_score,medium,mean,472.348231843923
2003,GRC,reading_score,medium,mean_se,4.21487735757274
2003,HUN,math_score,high,mean,538.027295340226
2003,HUN,math_score,high,mean_se,14.4492335117138
2003,HUN,math_score,low,mean,405.425989411541
2003,HUN,math_score,low,mean_se,39.2200366504664
2003,HUN,math_score,medium,mean,475.160028574643
